运动量,活跃时长,活跃状态,温度,电压,时间
174629,127957,4,3682,3155,2021-11-10 00:00:56
174629,127957,4,3685,3154,2021-11-10 00:05:55
174634,127957,4,3683,3156,2021-11-10 00:10:55
174661,127957,4,3639,3159,2021-11-10 00:16:05
174669,127957,4,3655,3160,2021-11-10 00:21:04
174669,127957,4,3682,3159,2021-11-10 00:26:04
174669,127957,4,3691,3160,2021-11-10 00:31:04
174669,127957,4,3683,3155,2021-11-10 00:36:04
174669,127957,4,3668,3156,2021-11-10 00:41:03
174669,127957,4,3682,3160,2021-11-10 00:46:13
174670,127957,4,3672,3160,2021-11-10 00:51:13
174670,127957,4,3680,3156,2021-11-10 00:56:13
174670,127957,4,3685,3157,2021-11-10 01:01:12
174675,127957,4,3675,3157,2021-11-10 01:06:12
174681,127957,4,3670,3157,2021-11-10 01:11:22
174681,127957,4,3689,3158,2021-11-10 01:16:22
174681,127957,4,3685,3157,2021-11-10 01:21:21
174681,127957,4,3689,3160,2021-11-10 01:26:21
174688,127957,4,3678,3156,2021-11-10 01:31:21
174743,127975,0,3534,3155,2021-11-10 01:36:31
174836,128015,4,3518,3154,2021-11-10 01:41:30
174846,128015,4,3563,3153,2021-11-10 01:46:30
174846,128015,4,3581,3155,2021-11-10 01:51:30
174869,128015,4,3572,3155,2021-11-10 01:56:30
174869,128015,4,3584,3154,2021-11-10 02:01:39
174881,128015,4,3570,3157,2021-11-10 02:06:39
174881,128015,4,3506,3156,2021-11-10 02:11:39
174902,128015,4,3479,3156,2021-11-10 02:16:38
174913,128015,4,3451,3154,2021-11-10 02:21:38
174914,128015,4,3455,3156,2021-11-10 02:26:48
174925,128015,4,3469,3152,2021-11-10 02:31:48
174926,128015,4,3471,3151,2021-11-10 02:36:47
174928,128015,4,3480,3154,2021-11-10 02:41:47
174928,128015,4,3484,3155,2021-11-10 02:46:47
174928,128015,4,3482,3151,2021-11-10 02:51:56
174931,128015,4,3484,3152,2021-11-10 02:56:56
174931,128015,4,3484,3152,2021-11-10 03:01:56
174932,128015,4,3493,3153,2021-11-10 03:06:56
174932,128015,4,3498,3155,2021-11-10 03:11:55
174932,128015,4,3500,3153,2021-11-10 03:17:05
174938,128015,4,3492,3154,2021-11-10 03:22:05
174969,128015,4,3487,3152,2021-11-10 03:27:04
174970,128015,4,3492,3154,2021-11-10 03:32:04
174972,128015,4,3502,3155,2021-11-10 03:37:04
174972,128015,4,3498,3155,2021-11-10 03:42:14
174999,128015,4,3479,3154,2021-11-10 03:47:13
174999,128015,4,3496,3156,2021-11-10 03:52:13
174999,128015,4,3510,3155,2021-11-10 03:57:13
174999,128015,4,3518,3153,2021-11-10 04:02:13
175005,128015,4,3527,3156,2021-11-10 04:07:22
175006,128015,4,3514,3156,2021-11-10 04:12:22
175015,128015,4,3510,3156,2021-11-10 04:17:22
